company,effective_date,location,number_of_workers
Embassy Suites Tempe,03/18/2020,"4400 S. Rural Rd Tempe, AZ 85282",47
Roadhouse cinemas,03/18/2020,"4811 E. Grant Rd, #150 Tucson, AZ 85712",109
Pima Valve,03/18/2020,"6525 W Allison Rd Chandler, AZ 85226",40
Punch Bowl social,03/18/2020,"903 N. 2nd Street Phoenix, AZ 85004",123
Amentum,03/13/2020,"MCAS Yuma, AZ 85364",62
Northrop Grumman,03/09/2020,"2980 Fairview Park Drive Falls Church, VA 22042",240
HotChalk,02/25/2020,"3600 E. University Drive, suite D1600 Phoenix, AZ 85034",75
Transportation Brokerage Specialists Inc (TBS),02/20/2020,"3151 Airway Avenue suite F208 Costa Mesa, CA 92626",110
Transportation Brokerage Specialists Inc (TBS),02/20/2020,"3151 Airway Avenue suite F208 Costa Mesa, CA 92626",110
Bella Fresh,02/05/2020,"420 N. 52nd Avenue, suite 1 Phoenix, AZ 85043",125
Aecom,01/17/2020,"Luke AFB Glendale, AZ 85310",62
Dyncorp,01/15/2020,"Monthan AFB Tucson, AZ 85704",200
MAPFRE Insurance - Enterprise Contact Center,01/13/2020,"1555 N. Fiesta Blvd Gilbert, AZ 85234",68
TMI Acquisitions LLC,01/10/2020,"3761 East Technical Drive Tucson, AZ 85713",43
"Macy's Credit and Customer Services, Inc.",01/06/2020,"1345 South 52nd Street, Tempe, AZ 85281",843
CMA CGM (America) LLC,01/03/2020,"16220 North Scottsdale Avenue, suite 400 Scottsdale, AZ 85254",100
Compass USA - St Mary' Hospital,12/30/2019,"1601 W. St Mary's Road Tucson, AZ 85745",75
Compass USA - St Joseph's,12/30/2019,"350 Wilmont Road Tucson, AZ 85711",81
"Compass USA - Holy Cross",12/30/2019,"1171 Target Range Road Tucson, AZ 85621",12
Hard Rock Cafe International,12/28/2019,"3 south 2nd street Phoenix, AZ 85004",33
Cognizant,12/18/2019,"2510 W. Dunlap Avenue, 6th floor Phoenix, AZ 85021",602
Ditech Financial LLC,12/16/2019,"2100 E. Elliot Rd. Tempe, AZ 85282",50
Katerra,12/03/2019,"624 N. 44th Avenue Phoenix, AZ 85043",221
Paradigm Precision,11/14/2019,"404 W. Guadalupe Road Tempe, AZ 85283",200
District medical Group (DMG),11/14/2019,"2929 E. Thomas Rd. Phoenix, AZ 85008",67
AMR Patient Advocacy Group - AZ,10/31/2019,"8465 N. Pima Road, Scottsdale, AZ 85258",77
Cascades,10/30/2019,"4625 N. Interstate Way Kingman, AZ 86401",94
First Solar,10/30/2019,"350 W. Washington Street, Suite 600 Tempe, AZ 85281",78
Dun & Bradstreet,10/29/2019,"5210 E. Williams Circle Tucson, AZ 85701",245
Oakwood Worldwide US LP,10/29/2019,"9630 N. 25th Avenue, suite 300 Phoenix, AZ 85021",64
St Luke's Medical Center,10/25/2019,"1800 East Van Buren Street Phoenix, AZ 85006",655
Global Solar,10/24/2019,"8500 South Rita Rd. Tucson, AZ 85747",97
Valassis,10/23/2019,"1818 East Riverview Drive Phoenix, AZ 86034",92
Safeway #2676,10/18/2019,"9101 E. Baseline Road Mesa, AZ 85209",65
Katerra,10/09/2019,"9305 e. Via de Ventura, Suite 200 Scottsdale, AZ 85258",61
Alorica - Mesa,08/28/2019,"1906 E. Main Mesa, AZ 85203",192
Nestle USA and Nestle Dryers Ice Cream l,08/16/2019,"3337 W. Wilshire Drive Phoenix, AZ 85004",85
"Insys Therapeutics, Inc",08/09/2019,"444 S. Ellis Street Chandler, AZ 85224",96
Aecom,07/29/2019,"Arizona sites Luke AFB, AZ 85012",63
viant Medical LLC,07/25/2019,"405 W. Geneva Drive Tempe, AZ 85282",81
Wells Fargo,07/18/2019,"8740 Research Drive Charlotte, NC 28215",82
Albertsons 2929,06/21/2019,"8454 S. Power Road Gilbert, AZ 85297",99
Safeway 1126,06/21/2019,"11275 E. Via Linda Scottsdale, AZ 85259",60
Peabody Western Coal Company,06/13/2019,"US hwy 160, Navajo Route 41 kayenta, AZ 86033",295
Walmart,06/12/2019,"671 E. Apache Blvd Tempe, AZ 85281",23
Raytheon Company,06/06/2019,"500 North Garden Avenue Sierra Vista, AZ 85635",69
Conair Corporation,05/13/2019,"23 Barry Place Stamford, CT 06902",108
Leidos,05/03/2019,"9807 E. Valley Rd Prescott Valley, AZ 86314",59
Albertsons/Safeway 0940,04/26/2019,"750 e. Guadalupe Tempe, AZ 85283",60
Safeway 1567,04/26/2019,"2740 E. University Mesa, AZ 85213",54
Western Refining,04/10/2019,"1250 Washington Street Tempe, AZ 85281",37
Concentrix Corporation,04/05/2019,"3760 N. Commerce Dr Tucson, AZ 85705",785
Spectra -Blue Water Resort & Casino,04/01/2019,"11300 Resort Drive Parker, AZ 85344",128
Radisson Suites Hotel Tucson,03/29/2019,"6555 East Speedway Boulevard Tucson, AZ 85710",82
Raytheon,03/28/2019,"500 North Garden Avenue Sierra Vista, AZ 85635",176
Arizona Daily Star,03/21/2019,"4850 South Park Avenue Tucson, AZ 85714",59
DialAmerica Marketing,03/04/2019,"3100 E. Broadway Road Phoenix, AZ 85040",182
TENET Healthcare Corp.,03/04/2019,"7878 N. 16th Street Suite 105 Phoenix, AZ 85020",1
Target Corporation,03/01/2019,"5255 E. Broadway Blvd Tucson, AZ 85711",113
Spectrum Pharmaceuticals,03/01/2019,"11500 S. Eastern Ave., Suite 240 Henderson, NV 89052",3
Conifer Health Solutions,02/28/2019,"7878 N. 16th Street , suite 105 Phoenix, AZ 85020",2
Dexcom,02/26/2019,"6340 Sequence Dr. San Diego, CA 92121",160
General Dynamics Information Technology,02/26/2019,"1001 Executive Dr Fort Huachuca, AZ 85613",201
La Palma Correctional Facility,02/22/2019,"5501 N. LaPalma Road Eloy, AZ 85131",108
Systems Solutions of Kentucky,02/19/2019,"14175 W Indian School Rd Goodyear, AZ 85395",39
Combat Tactical Training Range,02/07/2019,"MCAS Yuma, AZ 85365",52
Web.com group Inc,02/01/2019,"12808 gran bay parkway west jacksonville, FL 32258",11
Tesla,01/29/2019,"3834 East Roeser Rd Phoenix, AZ 85040",58
Alorica,01/25/2019,"2929 E Corona Rd. Tucson, AZ 85756",227
Sodexo,01/18/2019,"4000 E. Sky Harbor Blvd Phoenix, AZ 85034",49
