company,effective_date,location,number_of_workers
Sam's Club - Farmington Hills,"January 11, 2018","Farmington Hills, MI",158
Sam's Club - Lansing,"January 11, 2018","Lansing, MI",172
Dematic Corp,"December 26, 2017","Grand Rapids, MI",60
Datapak Services Corp.,"December 08, 2017","Howell, MI",61
YANFENG - Lansing,"November 28, 2017","Lansing, MI",10
YANFENG - Highland Park,"November 27, 2017","Highland Park, MI",345
Zenith Education Group,"November 07, 2017","Southfield, MI",70
Southwest Solutions,"October 31, 2017","Detroit, MI",122
Kmart #04711,"October 16, 2017","St. Clair Shores, MI",127
"Home Rehabilitation Services of Michigan, LLC","October 13, 2017","Commerce Township, MI",113
Automotive Component Carrier,"October 11, 2017","Flint and Lansing, MI",60
Dematic Corp.,"October 10, 2017","Grand Rapids, MI",204
Thrift Books Global LLC - Detroit,"October 03, 2017","Riverview, MI",51
Peoples Bank - National Mortgage Business Division,"September 22, 2017","Southfield, MI",62
"Arvato Digital Services, LLC","August 22, 2017","Farmington Hills, MI",72
"Genpact, LLC","August 22, 2017","Farminton Hills, MI",104
"Dairy Fresh Foods, Inc.","August 15, 2017","Taylor, MI",160
Great Lakes Wine & Spirits,"August 14, 2017",10MI,101
Molina Medical,"August 01, 2017","Dearborn, MI",120
Adient USA (aka) Recaro,"July 31, 2017","Auburn Hills, MI",129
dex yp,"July 31, 2017","Madison Heights, MI",108
Kindred Hospital - Detroit,"July 20, 2017","City: Detroit, MI",145
Conner Assembly Plant,"July 05, 2017","Detroit, MI",87
"B & B Bacharach, LLC","June 01, 2017","Auburn Hills, MI",5
Durham School Services,"May 26, 2017","Romulus, MI",61
Kellogg Distribution Center,"May 26, 2017","Detroit, MI",211
Comcast,"May 25, 2017","Wixom, MI",72
UP Health System,"May 18, 2017","Marquette, MI",95
"Huntington Bancshares, Inc. (Huntington Bank)","May 12, 2017","Holland, MI",129
Durham School Services,"May 04, 2017","Southfield, MI",118
"Gestamp NA, Lapeer","May 04, 2017","Lapeer, MI",84
"Sun Pharmaceutical Industries, Inc.","May 04, 2017","Wixom, MI",25
Woodward Academy (Human Resource Experts),"May 03, 2017","Detroit, MI",65
Moog,"April 25, 2017","Livonia, MI",40
"North Lake Correctional Facility (GEO Group, Inc.)",CEVA,"April 03, 2017","Redford, MI",188
Sodexo,"April 03, 2017","Detroit, MI",52
"Dollar Express, Store #8361","April 03, 2017","Taylor, MI",5
"Dollar Express, Store #4941","April 03, 2017","Oak Park, MI",12
"Dollar Express, Store #8625","April 03, 2017","Wyoming, MI",6
"Dollar Express, Stores #4964, 5306","April 03, 2017","Grand Rapids, MI",11
"Dollar Express, Stores #1521, 5574, 5636, 6301, 6409","April 03, 2017","Detroit, MI",44
"Dollar Express, Store #5959","April 03, 2017","Burton, MI",9
"Dollar Express, Store #10126","April 03, 2017","Hazel Park, MI",7
"Dollar Express, Store #6161","April 03, 2017","Hamtramck, MI",10
A123 Systems LLC,"April 03, 2017","Romulus, MI",130
"Dollar Express, Store #8993","April 03, 2017","Lansing, MI",4
"Dollar Express, Store #6346","April 03, 2017","Ferndale, MI",7
"Dollar Express, Store #8998","April 03, 2017","Portage, MI",5
"Dollar Express, Store #1265","April 03, 2017","Saginaw, MI",8
"Dollar Express, Store #4770","April 03, 2017","Holland, MI",5
"Dollar Express, Store #7100","April 03, 2017","Westland, MI",7
"Dollar Express, Store #2137","April 03, 2017","Mt. Morris, MI",6
"Dollar Express, Store #5412","April 03, 2017","Inkster, MI",11
"Dollar Express, Store #8595","April 03, 2017","Eastpointe, MI",9
"Dollar Express, Store #8591","April 03, 2017","Highland Park, MI",14
"Dollar Express, Store #4716","April 03, 2017","Benton Harbor, MI",6
RevSpring,"March 31, 2017","Wixom, MI",52
Suniva,"March 31, 2017","Saginaw, MI",59
SAF-Holland - Muskegon,"March 29, 2017","Muskegon, MI",125
"SAF-Holland, Inc.","March 24, 2017","Holland, MI",97
Civil & Environmental Consultants Inc.,"March 16, 2017","Novi, MI",8
AT&T,"March 15, 2017","Detroit, MI",53
Miners Inc. d/b/a Super One Foods,"March 07, 2017","Escanaba, MI",75
"Inteva Products, LLC","March 07, 2017","Adrian, MI",193
Yanfeng,"March 06, 2017","Lansing,  MI",27
GM,"March 06, 2017","Lansing, MI",1171
syncreon,"March 06, 2017","Dundee, MI",Unknown
ADP - Ann Arbor,"February 28, 2017","Ann Arbor, MI",16
MC Sports,"February 28, 2017","Kentwood, MI",61
"Family Christian Stores, LLC","February 27, 2017","Grand Rapids, MI",170
