company,effective_date,location,number_of_workers
"Eat'n Park Hospitality Group, Inc.",01/08/2020-04/06/2020,"Various Cities, OH",688
"OS Restaurant Services, LLC",03/15/2020,"Various Cities, OH",3360
"Constant Aviation, LLC",05/10/2020-05/15/2020,"Richmond Heights, OH",52
"Belcan, LLC",04/24/2020,"Blue Ash, OH",720
"Visionworks, Inc.",04/02/2020,"Various Cities, OH",53
"Gradall Industries, Inc.",02/28/2020-03/24/2020,"New Philadelphia, OH",103
"Apex Environmental, LLC",03/26/2020-04/10/2020,"Amsterdam, OH",49
Urbana University (Franklin University),04/21/2020-05/21/2020,"Urbana, OH",321
"IAC Wauseon, LLC",04/27/2020,"Wauseon, OH",125
ArcelorMittal Cleveland USA,04/19/2020-04/26/2020,"Cleveland, OH",403
"Maines Paper & Food Service, Inc.",04/17/2020,"Oakwood Village, OH",63
"Avis Budget Car Rental, LLC",03/13/2020-03/25/2020,"Cleveland, OH",44
"Avis Budget Car Rental, LLC",03/20/2020-03/24/2020,"Columbus, OH",29
"Miller's Ale House, Inc.",05/13/2020,"Columbus, OH",67
"Miller's Ale House, Inc.",05/13/2020,"Columbus, OH",64
Blair Rubber Company,04/19/2020,"Seville, OH",12
"Green Tokai Co., LTD",03/23/2020,"Brookville, OH",543
"Certech, Inc.",04/20/2020,"Twinsburg, OH",40
"Westar Hotel Partners, LLC (Renaissance Columbus Westerville)",03/20/2020,"Westerville, OH",105
"Fulton County Processing, LTD",04/17/2020,"Delta, OH",58
ArcelorMittal Columbus LLC,04/19/2020,"Columbus, OH",122
"Profusion Industries, LLC",03/30/2020-04/20/2020,"Marietta, OH",159
"Pier 1 Imports, Inc.",08/31/2020,"Groveport, OH",221
Hilton Cincinnati Netherland Plaza,03/19/2020-07/31/2020,"Cincinnati, OH",279
CBCS,03/23/2020,"Dayton, OH",17
Scholastic Book Fairs,03/18/2020,"West Chester, OH",142
"HCFS Health Care Financial Services, LLC",04/15/2020-06/01/2020,"Akron, OH",181
"Advanced Composites, Inc.",04/13/2020,"Sidney, OH",210
Crowne Plaza Dayton,03/16/2020,"Dayton, OH",130
Race Winning Brands,4/14/2020,"Mentor, OH",67
Concord Dayton Hotel II LLC (Marriott at the University of Dayton),03/20/2020,"Dayton, OH",160
"Vitro Automotive/Pittsburgh Glass Works, LLC",03/23/2020,"Crestline, OH",318
Ohio Cinema Investments LLC (Cinepolis),03/23/2020-07/31/2020,"Miamisburg, OH",43
Deceuninck North America (DNA),04/15/2020,"Monroe, OH",233
ArcelorMittal Cleveland USA,04/12/2020,"Cleveland, OH",48
SugarCreek Packing Co.,03/26/2020-04/06/2020,"Dayton, OH",94
"I Am Boundless, Inc.",04/17/2020,"Worthington, OH",87
Agrati Tiffin,04/13/2020,"Tiffin, OH",57
Agrati Medina,04/15/2020,"Medina, OH",163
VSPOne,04/10/2020-05/01/2020,"Lockbourne, OH",234
"JSW Steel USA Ohio, Inc.",04/09/2020,"Mingo Junction, OH",162
"Huhtamaki, Inc.",04/08/2020,"Franklin, OH",20
Johns Manville,04/06/2020,"Defiance, OH",35
North American Dental Group,03/23/2020,"Various Cities, OH",443
"Hooters of America, LLC",03/16/2020,"Various Cities, OH",134
Acoust-A-Fiber,03/19/22020,"Delaware, OH",159
Arhaus Furniture,04/03/2020,"Various Cities, OH",188
CBC Companies,03/27/2020,"Columbus, OH",17
G6 Hospitality LLC,04/13/2020-04/30/2020,"Worthington, OH",70
