"Bon Ton Stores (Younkers, Boston Store, BonTon)","Brookfield, Eau Claire, Glendale, Greendale, Janesville, Madison, Marshfield, Milwaukee, Racine, Wauwatosa",2255,06/05/2018
Sitel Group,Unknown,1,03/30/2018

JC Penny,Wauwatosa,520,06/02/2018
"Hubbell Lighting, Inc.",Hudson,54,05/25/2018
Syverson Lutheran Home,Eau Claire,80,03/26/2018
"Toys ""R"" Us, Inc.","Appleton,Brookfield,Green Bay,Madison,Onalaska,Milwaukee,Racine, and Janesville",326,05/14/2018
"Toys ""R"" Us, Inc. - Revision 1","Appleton,Brookfield,Green Bay,Madison,Onalaska,Milwaukee,Racine, and Janesville",326,06/16/2018
"ALKAR-RapidPak, Inc.",Lodi,30,03/08/2018
Foremost Farms USA,Rothschild,110,05/07/2018
Care and Rehab - Dallas,Dallas,49,05/01/2018

"Cordstrap USA, Inc.",Sturtevant,36,05/01/2018
"Uniek, Inc.",Waunakee,58,04/30/2018
Gannett Publishing Services,Appleton,137,05/01/2018
Gannett Publishing Services - Revision 1,Appleton,137,05/01/2018
Gannett Publishing Services - Revision 2,Appleton,137,05/01/2018
Gannett Publishing Services - Revision 3,Appleton,137,05/01/2018
"Mike Flint Enterprises, Inc. (dba Interim Healthcare of Wisconsin; dba Mallatt's Homecare Pharmacy)",Madison and Menomonee Falls,168,04/01/2018
Interim Healthcare of Wisconsin - Revision 1,Madison,98,08/01/2018
Compass Group,Hudson,3,04/01/2018

Younkers,Appleton,75,04/01/2018
Younkers,Wausau,63,04/01/2018
"Saputo Cheese USA, Inc.",Fond du Lac,120,03/31/2018
"Saputo Cheese USA, Inc. - Revision 1",Fond du Lac,120,03/31/2018
ACCO Brands,Pleasant Prairie,26,03/23/2018
Sam's Club,Madison,129,03/16/2018
"Lake Country Foods, Inc.",Oconomowoc,91,03/16/2018
Sam's Club,West Allis,165,03/16/2018
Sears Holdings,Brookfield,59,03/18/2018
Sears Holdings,Green Bay,43,04/08/2018

F + W Media,Iola,41,12/21/2017
F + W Media - Revision 1,Iola,0,12/21/2017

Centro Hispano Milwaukee,Milwaukee,88,01/21/2018
K-Mart,Stevens Point,45,01/21/2018
"Authenticom, Inc.",La Crosse,55,02/02/2018
"Bosch Packaging Technology, Inc.",Shell Lake and New Richmond,35,01/01/2018

Ryder Integrated Logistics Inc,Greenville,159,12/31/2017
"U.S. Paper Converters, Inc.",Appleton,52,12/31/2017
"U.S. Paper Converters, Inc. - Revision 1",Appleton,52,12/21/2017
Molina Healthcare Inc.,Milwaukee,53,12/15/2017
Molina Healthcare Inc. - Revision 1,Milwaukee,59,03/01/2018
